label,x,y
106,500.27,63.58
107,520.27,79.43
108,540.27,72.65
109,560.27,63.32
110,580.27,71.54
111,600.27,76.15
112,620.27,69.28
113,640.27,66.02
114,660.27,79.69
115,680.27,78.18
116,700.27,66.15
117,720.27,61.28
118,740.27,73.9
119,760.27,74.78
120,780.27,73.87
121,200.27,95.65
122,220.27,87.69
123,240.27,83.02
124,260.27,84.44
125,280.27,90.12
126,300.27,92.19
127,320.27,88.1
128,340.27,80.33
129,360.27,96.05
130,380.27,90.97
131,400.27,83.88
132,420.27,84.3
133,440.27,96.73
134,460.27,87.26
135,480.27,99.9
136,500.27,93.15
137,520.27,96.23
138,540.27,92.77
139,560.27,80.27
140,580.27,88.9
141,600.27,96.28
142,620.27,87.82
143,640.27,82.07
144,660.27,82.75
145,680.27,98.57
146,700.27,98.44
147,720.27,86.82
148,740.27,94.24
149,760.27,87.45
150,780.27,96.95
151,200.27,508.91
152,220.27,516.01
153,240.27,505.47
154,260.27,500.4
155,280.27,510.13
156,300.27,517.87
157,320.27,504.22
158,340.27,513.84
159,360.27,504.93
160,380.27,502.19
161,400.27,519.91
162,420.27,511.35
163,440.27,507.31
164,460.27,504.01
165,480.27,519.15
166,500.27,502.77
167,520.27,518.55
168,540.27,505.07
169,560.27,516.93
170,580.27,513.52
171,600.27,502.25
172,620.27,501.78
173,640.27,500.45
174,660.27,516.87
175,680.27,502.43
176,700.27,513.01
177,720.27,505.4
178,740.27,504.27
179,760.27,502.86
180,780.27,504.12
181,200.27,539.27
182,220.27,527.97
183,240.27,530.93
184,260.27,528.77
185,280.27,536.62
186,300.27,521.45
187,320.27,522.81
188,340.27,532.74
189,360.27,537.26
190,380.27,521.39
191,400.27,525.92
192,420.27,536.53
193,440.27,538.02
194,460.27,524.99
195,480.27,531.49
196,500.27,530.62
197,520.27,535.22
198,540.27,537.58
199,560.27,529.24
200,580.27,529.03
201,600.27,532.15
202,620.27,523.3
203,640.27,534.05
204,660.27,529.44
205,680.27,536.46
206,700.27,536.27
207,720.27,534.94
208,740.27,534.71
209,760.27,537.16
210,780.27,534.19
211,200.27,542.96
212,220.27,546.02
213,240.27,549.46
214,260.27,559.4
215,280.27,547.81
216,300.27,551.93
217,320.27,544.63
218,340.27,558.38
219,360.27,553.08
220,380.27,544.83
221,400.27,552.44
222,420.27,542.26
223,440.27,544.06
224,460.27,556.51
225,480.27,546.97
226,500.27,540.51
227,520.27,546.66
228,540.27,559.27
229,560.27,554.88
230,580.27,554.22
231,600.27,558.07
232,620.27,556.35
233,640.27,550.3
234,660.27,544.08
235,680.27,552.07
236,700.27,540.97
237,720.27,551.38
238,740.27,550.98
239,760.27,546.2
240,780.27,544.35
241,200.27,563.86
242,220.27,561.23
243,240.27,579.66
244,260.27,562.32
245,280.27,579.82
246,300.27,561.77
247,320.27,578.43
248,340.27,563.43
249,360.27,564.81
250,380.27,577.93
251,400.27,561.64
252,420.27,561.74
253,440.27,568.97
254,460.27,564.16
255,480.27,566.58
256,500.27,561.04
257,520.27,572.24
258,540.27,567.8
259,560.27,562.87
260,580.27,579.16
261,600.27,561.43
262,620.27,561.65
263,640.27,569.98
264,660.27,574.29
265,680.27,577.38
266,700.27,563.92
267,720.27,574.22
268,740.27,575.67
269,760.27,565.85
270,780.27,579.21
271,200.27,591.58
272,220.27,599.86
273,240.27,590
274,260.27,586.95
275,280.27,591
276,300.27,596.21
277,320.27,598.03
278,340.27,587.54
279,360.27,592.3
280,380.27,589.82
281,400.27,599.49
282,420.27,583.04
283,440.27,585.71
284,460.27,597.34
285,480.27,589.61
286,500.27,584.45
287,520.27,597.2
288,540.27,593.74
289,560.27,584.79
290,580.27,584.9
291,600.27,597.24
292,620.27,592.81
293,640.27,594.24
294,660.27,584.1
295,680.27,582.68
296,700.27,596.92
297,720.27,589.05
298,740.27,586.05
299,760.27,588.52
300,780.27,586.57
301,0.95,150.27
302,10.17,160.27
303,5.82,170.27
304,15.08,180.27
305,8.02,190.27
306,16.51,200.27
307,13.16,210.27
308,11.22,220.27
309,12.63,230.27
310,15.56,240.27
311,15.45,250.27
312,15.04,260.27
313,2.69,270.27
314,14.78,280.27
315,18.24,290.27
316,14.97,300.27
317,8.72,310.27
318,8.13,320.27
319,11.75,330.27
320,16.59,340.27
321,18.44,350.27
322,0.41,360.27
323,2.06,370.27
324,1.99,380.27
325,4.85,390.27
326,10.18,400.27
327,3.42,410.27
328,15.17,420.27
329,5.93,430.27
330,7.96,440.27
331,36.68,150.27
332,25.66,160.27
333,34.75,170.27
334,29.91,180.27
335,32.75,190.27
336,31.58,200.27
337,29.89,210.27
338,25.96,220.27
339,29.24,230.27
340,32.94,240.27
341,24.74,250.27
342,33.15,260.27
343,36.6,270.27
344,23.1,280.27
345,31.79,290.27
346,38.12,300.27
347,28.7,310.27
348,21.73,320.27
349,24.73,330.27
350,29.99,340.27
351,21.69,350.27
352,26.38,360.27
353,25.52,370.27
354,31.48,380.27
355,39.45,390.27
356,33.54,400.27
357,27.98,410.27
358,38.53,420.27
359,27.37,430.27
360,22.39,440.27
361,50.23,150.27
362,58.65,160.27
363,50.33,170.27
364,57.5,180.27
365,52.97,190.27
366,41.68,200.27
367,40.63,210.27
368,56.79,220.27
369,52.71,230.27
370,59.37,240.27
371,50.08,250.27
372,56.4,260.27
373,57.71,270.27
374,40.43,280.27
375,56.97,290.27
376,42.38,300.27
377,48.52,310.27
378,57.66,320.27
379,54.64,330.27
380,55.5,340.27
381,58.54,350.27
382,41.57,360.27
383,53.57,370.27
384,46.16,380.27
385,57.27,390.27
386,43.33,400.27
387,46.98,410.27
388,55.98,420.27
389,42.74,430.27
390,54.89,440.27
391,76.61,150.27
392,69.37,160.27
393,66.94,170.27
394,72.99,180.27
395,64.83,190.27
396,69.12,200.27
397,77.13,210.27
398,67.21,220.27
399,70.51,230.27
400,78.86,240.27
401,69.28,250.27
402,75.36,260.27
403,72.98,270.27
404,69.62,280.27
405,64.2,290.27
406,74.87,300.27
407,72.95,310.27
408,67.39,320.27
409,72.36,330.27
410,79.42,340.27
411,68.23,350.27
412,74.21,360.27
413,74.59,370.27
414,64.8,380.27
415,80.08,390.27
416,76.13,400.27
417,79.31,410.27
418,68.98,420.27
419,77.59,430.27
420,65.23,440.27
421,95.5,150.27
422,82.4,160.27
423,81.72,170.27
424,89.95,180.27
425,87.36,190.27
426,97.47,200.27
427,89.21,210.27
428,80.43,220.27
429,88.87,230.27
430,98.74,240.27
431,90.51,250.27
432,90.82,260.27
433,83.73,270.27
434,80.7,280.27
435,97.5,290.27
436,91.61,300.27
437,80.92,310.27
438,80.94,320.27
439,84.64,330.27
440,86.48,340.27
441,81.44,350.27
442,81.13,360.27
443,83.08,370.27
444,95.96,380.27
445,98.05,390.27
446,82.98,400.27
447,90.85,410.27
448,96.68,420.27
449,84.1,430.27
450,85.88,440.27
451,804.38,150.27
452,807.69,160.27
453,816.97,170.27
454,805.01,180.27
455,802.05,190.27
456,805.26,200.27
457,813.19,210.27
458,803.57,220.27
459,800.66,230.27
460,807.56,240.27
461,800.44,250.27
462,809.79,260.27
463,803.13,270.27
464,802.14,280.27
465,818.5,290.27
466,808.27,300.27
467,803.28,310.27
468,806.5,320.27
469,819.8,330.27
470,812.32,340.27
471,805.26,350.27
472,812.89,360.27
473,808.39,370.27
474,808.72,380.27
475,819.96,390.27
476,804.84,400.27
477,817.72,410.27
478,807.24,420.27
479,818.42,430.27
480,813.18,440.27
481,827.14,150.27
482,834.46,160.27
483,822.93,170.27
484,824.62,180.27
485,826.21,190.27
486,824.14,200.27
487,829.59,210.27
488,827.49,220.27
489,824.51,230.27
490,826.64,240.27
491,825.26,250.27
492,835.71,260.27
493,832.93,270.27
494,825.33,280.27
495,835.55,290.27
496,835.01,300.27
497,835.96,310.27
498,835.87,320.27
499,832.4,330.27
500,833.98,340.27
501,838.05,350.27
502,821.08,360.27
503,828.46,370.27
504,837.05,380.27
505,827.03,390.27
506,832.45,400.27
507,829.33,410.27
508,828.72,420.27
509,838.45,430.27
510,824.42,440.27
511,849,150.27
512,847.89,160.27
513,852.92,170.27
514,845.67,180.27
515,858.12,190.27
516,855.13,200.27
517,851.11,210.27
518,855.26,220.27
519,845.03,230.27
520,855.03,240.27
521,845.05,250.27
522,850.77,260.27
523,852.43,270.27
524,856.02,280.27
525,840.45,290.27
526,850.47,300.27
527,860.1,310.27
528,849.56,320.27
529,859.44,330.27
530,855.05,340.27
531,848.03,350.27
532,842.91,360.27
533,856.85,370.27
534,841.63,380.27
535,841.14,390.27
536,845.25,400.27
537,844.91,410.27
538,856.5,420.27
539,847.93,430.27
540,857.85,440.27
541,875.46,150.27
542,860.76,160.27
543,864.45,170.27
544,878.95,180.27
545,876.34,190.27
546,874.48,200.27
547,872.32,210.27
548,877.33,220.27
549,869.48,230.27
550,880.09,240.27
551,862.8,250.27
552,875.04,260.27
553,861.25,270.27
554,871.44,280.27
555,878.97,290.27
556,861.35,300.27
557,879.26,310.27
558,870.53,320.27
559,866.91,330.27
560,880.27,340.27
561,866.12,350.27
562,863.09,360.27
563,871.98,370.27
564,879.39,380.27
565,877.4,390.27
566,875.57,400.27
567,870.62,410.27
568,869.53,420.27
569,872.98,430.27
570,861.91,440.27
571,897.23,150.27
572,899.13,160.27
573,883.11,170.27
574,887.17,180.27
575,887.32,190.27
576,880.7,200.27
577,887.96,210.27
578,881.25,220.27
579,888.71,230.27
580,884.16,240.27
581,893.32,250.27
582,887.21,260.27
583,885.3,270.27
584,889.67,280.27
585,895.27,290.27
586,892.09,300.27
587,881.71,310.27
588,882.12,320.27
589,888.03,330.27
590,888.02,340.27
591,885.85,350.27
592,893.67,360.27
593,880.81,370.27
594,893.34,380.27
595,895.86,390.27
596,887.63,400.27
597,882.67,410.27
598,899.71,420.27
599,895.93,430.27
600,886.79,440.27
601,460.27,288.1
602,501.7,253.26
603,490.87,316.91
604,464.7,300.98
605,471.94,294.95
606,515.76,298.39
607,489.59,305.03
608,504.4,272.98
609,455.85,297.94
610,535.83,266.35
611,489.81,324.35
612,500.68,339.77
613,477.93,325.02
614,457.74,287.18
615,479.99,283.64
616,498.49,262.43
617,538.05,313.37
618,470.73,319.89
619,545.7,305.49
620,516.04,272.93
621,462.48,287.47
622,450.45,298.99
623,527.47,311.43
624,501.89,269.21
625,540.75,322.77
626,500.45,258.24
627,541.94,316.27
628,508.35,294.86
629,505.61,251.48
630,477.91,263.03
631,542.8,285.53
632,520.42,325.91
633,535.1,320.63
634,464.36,270.12
635,477.49,259.51
636,509.49,267.09
637,518.62,260.7
638,529.45,266.4
639,503.7,333.67
640,470.86,281.62
641,526.09,320.28
642,481.35,296.94
643,450.45,297.22
644,496.98,253.32
645,519.52,340.63
646,549.66,296.29
647,527.07,282.41
648,498.55,309.66
649,516.59,294.8
650,543.27,321.65
651,471.96,301.25
652,549.61,295.08
653,466.97,329.31
654,528.92,338.07
655,491.29,319.01
656,467.85,285.45
657,520.89,345.28
658,518.29,286.59
659,549.34,293.1
660,459.98,329.76
661,478.45,299.15
662,545.69,313.31
663,463.61,314.89
664,461.85,270.9
665,507.34,305.72
666,507.13,290.27
667,515.72,335.23
668,486,274.07
669,530.53,314.21
670,526.9,342.07
671,462.68,283.04
672,498.54,286.23
673,521.76,312.24
674,459.86,290.62
675,498.12,309.32
676,536.48,307.53
677,482.06,255.63
678,454.54,291.91
679,457.01,310.47
680,509.66,314.31
681,546.95,300.77
682,502.15,279.88
683,521.91,267.23
684,523.22,318.77
685,450.27,296.94
686,450.2,300.84
687,464.09,298.19
688,522.29,336.24
689,515.3,260.99
690,454.33,298.85
691,491.85,317.89
692,454.5,306.92
693,537.66,297.08
694,456.55,312.15
695,544.85,311.92
696,453.39,300.09
697,499.73,305.85
698,497.29,347.51
699,527.04,323.79
700,545.14,304.48
701,493.82,270.45
702,453.72,282.71
703,463.06,268.62
704,485.91,289.19
705,485.82,284.48
706,537.34,282.68
707,477.12,330.16
708,519.81,281.14
709,508.63,313.81
710,489.65,257.28
711,479.59,272.79
712,537.64,310.88
713,488.77,332.84
714,509.27,298.97
715,466.84,322.63
716,500.36,318.33
717,502,304.83
718,548.68,308.81
719,455.06,284.02
720,543.83,277.4
721,408.67,304.15
722,421.62,300.95
723,514.76,359.58
724,454.3,248.9
725,420.81,360.31
726,490.7,243.13
727,503.6,213.69
728,578.16,299.42
729,435.79,237.61
730,573.8,343.16
731,536.33,252.74
732,526.42,387.51
733,420.77,350.05
734,505.38,357.49
735,453.07,214.97
736,532.06,367.8
737,597.94,307.31
738,583.17,298.65
739,453.09,234.86
740,560.84,377.01
741,477.63,247.34
742,543.53,344.4
743,446.78,348.95
744,487.09,362.37
745,464.82,366.53
746,580.69,310.25
747,438.5,239.3
748,451.78,228.2
749,465.8,244.22
750,425.49,252.79
751,503.5,218.12
752,469.45,379.46
753,402.38,310.37
754,526.7,211.19
755,415.92,337.8
756,535.52,262.82
757,560.91,374.16
758,537.16,211.18
759,447.21,261.53
760,578.18,292.45
761,406.29,326.92
762,464.93,246.46
763,545.76,214.17
764,433.54,362.51
765,535.12,235.71
766,566.75,250.94
767,489.29,224.95
768,586.06,275.28
769,432.47,326.25
770,481.73,348.39
771,406.82,263.75
772,504.95,384.02
773,584.22,330.82
774,529.71,356.04
775,475.2,240.1
776,493.05,243.58
777,575.18,260.44
778,457.7,242.99
779,424.06,262.4
780,565.58,360.97
781,542.68,429.43
782,461.74,414.59
783,546.35,417.26
784,429.11,227.86
785,575.65,174.7
786,645.16,262.51
787,519.38,444.48
788,566.79,422.25
789,469.79,160.66
790,427.59,419.22
791,358.18,316.53
792,583.1,404.72
793,570.37,180.12
794,582.45,367.98
795,362.25,304.03
796,368.39,313.33
797,389.64,281.58
798,372.73,372.48
799,377.21,364.37
800,364.1,319.3
801,115.78,17.33
802,140.28,17.71
803,5.57,113.33
804,141.93,115.85
805,60.28,5.89
806,120.39,145.34
807,45.9,115.68
808,79.77,113.03
809,166.9,67.68
810,167.31,115.92
811,3.67,135.98
812,147.27,11.73
813,65.43,18.15
814,19.32,68.82
815,28.33,11.35
816,83.14,20.13
817,173.34,58.84
818,170.7,17.67
819,12.8,91.59
820,56.31,41.24
821,59.48,106.79
822,15.89,39.75
823,39.22,28.72
824,121.53,13.46
825,70.7,1.15
826,178.93,143.33
827,155.64,108.23
828,34.27,38.32
829,1.01,54.07
830,156.67,135.08
831,0.62,111.2
832,197.84,30.99
833,165.51,101.27
834,124.27,124.75
835,19.67,96.94
836,195.79,27.83
837,43.51,65.94
838,62.02,140.6
839,38.75,68.9
840,73.15,89.35
841,38.79,489.14
842,64.37,519.37
843,18.05,491.03
844,98.73,551.32
845,185.89,566.5
846,117.07,497.81
847,96.48,500.73
848,106.28,469.42
849,107.84,538.25
850,144.34,597.28
851,26.35,586.34
852,50.39,460.78
853,16.54,518.99
854,137.01,566.65
855,192.91,477.91
856,142.52,476.65
857,65.42,499.87
858,9.45,530.86
859,103.28,461.8
860,5.24,567.17
861,66.91,464.81
862,183.76,585.35
863,114.48,590.25
864,66.92,529.4
865,88.63,592.13
866,87.13,534.68
867,62.56,483.1
868,188.55,588.75
869,158.58,562.63
870,111.21,553.17
871,169.46,554.22
872,147.24,573.76
873,56.42,504.87
874,87.53,468.9
875,117.24,587.23
876,172.38,502.9
877,162.94,566.57
878,111.4,499.04
879,133.66,598.03
880,46.66,506.29
881,857.52,513.65
882,916.88,486.08
883,977.84,476.72
884,838.8,545.97
885,858.22,460.8
886,861.54,475.19
887,948.47,580.14
888,891.04,552.84
889,816.64,458.07
890,948.99,490.35
891,943.09,595.51
892,896.04,576.48
893,892.68,535.14
894,906.21,520.14
895,885.06,583.2
896,817.05,483.23
897,848.63,577.18
898,891.12,510.88
899,850.4,528.68
900,926.65,486.78
901,922.19,459.93
902,952.66,460.83
903,863.57,583.55
904,899.09,553.91
905,947.7,484.95
906,948.12,598.23
907,991.74,512.09
908,921.05,477.02
909,855.38,542.9
910,945.14,561.44
911,862.93,588.76
912,983.53,452.97
913,928.43,481.37
914,951.99,465.96
915,898.95,469.37
916,860.66,563.06
917,814.22,557.13
918,884.19,571.3
919,938.42,541.37
920,813.68,552.31
921,838.23,107.06
922,975.64,123.54
923,892.99,54.6
924,989.71,117.67
925,837.57,135.95
926,821.08,100.61
927,963.07,11.42
928,823.8,109.74
929,856.23,50.77
930,817.22,149.68
931,826.11,77.18
932,958.61,97.01
933,834.88,101.6
934,872.42,109.16
935,810.19,112.78
936,939.8,40.9
937,919.15,73.14
938,864.65,21.8
939,995.71,116.57
940,994.07,111.45
941,827.85,13.87
942,955.47,48.64
943,974.73,122.84
944,848.81,59.92
945,872.97,125.39
946,932.69,122.56
947,940.74,38.37
948,971.03,58.82
949,905.3,59.41
950,898.63,110.13
951,801.55,54.24
952,882.03,129.49
953,955.63,4.36
954,990.59,100.55
955,969.23,57.89
956,888.92,34.62
957,932.84,148.79
958,966,91.65
959,995.46,44.99
960,995.17,118.62
961,833.07,264.41
962,784.52,127.83
963,233.07,272.74
964,246.61,476.86
965,771.13,311.48
966,681.25,188.91
967,175.36,384.64
968,113.19,385.63
969,258.01,204.19
970,706.25,174.49
971,148.2,353.88
972,249.06,421.84
973,212.25,197.47
974,266.42,268.09
975,839.17,432.34
976,210.16,198.39
977,315.04,223.67
978,170.23,150.21
979,677.57,389.82
980,254.65,494.52
981,773.36,289.14
982,729.64,185.82
983,251.48,220.76
984,752.41,470.19
985,696.95,169.08
986,195.87,471.68
987,727.08,248.61
988,103.18,467.61
989,287.03,441.8
990,248.26,250.88
991,654.46,471.3
992,328.17,364.31
993,787.38,490.32
994,721.95,216.27
995,714.06,469.65
996,325.3,333.4
997,267.62,123.75
998,317.1,407.29
999,274.35,248.48
1000,849.28,498.82
